content,source,rating,date,sentiment_label,sentiment_score,category,priority_score
good I think,google_play,5,2026-02-21 14:45:18,positive,0.4404,Other,0.0
Excellent,google_play,5,2026-02-20 14:45:18,positive,0.5719,Other,0.0
It's has been a amazing app to me,google_play,5,2026-02-19 14:45:05,positive,0.5859,Other,0.0
very nice,google_play,5,2026-02-18 14:44:30,positive,0.4754,Other,0.0
Nice app,google_play,5,2026-02-17 14:44:19,positive,0.4215,Other,0.0
this is the best place to be,google_play,5,2026-02-23 14:44:16,positive,0.6369,Other,0.0
Sometimes there are problems while talking on video calls,google_play,3,2026-02-22 14:44:02,negative,-0.4019,Bug,108.01
very nice,google_play,5,2026-02-21 14:44:01,positive,0.4754,Other,0.0
Nice app,google_play,5,2026-02-20 14:44:00,positive,0.4215,Other,0.0
Very Good 😊,google_play,5,2026-02-19 14:43:59,positive,0.4927,Other,0.0
good,google_play,5,2026-02-18 14:43:57,positive,0.4404,Other,0.0
suitable,google_play,5,2026-02-17 14:43:50,neutral,0.0,UI/UX,0.0
I can talk to my friends I can also do video calls and it's the best app for communication,google_play,5,2026-02-23 14:43:42,positive,0.8074,Other,0.0
ممتاز,google_play,5,2026-02-22 14:43:32,neutral,0.0,Other,0.0
so great,google_play,5,2026-02-21 14:43:24,positive,0.659,Other,0.0
wow 😲😳,google_play,5,2026-02-20 14:43:18,positive,0.5859,Other,0.0
Connecting lives,google_play,5,2026-02-19 14:43:10,neutral,0.0,Other,0.0
Good,google_play,5,2026-02-18 14:43:09,positive,0.4404,Other,0.0
this is very useful app,google_play,5,2026-02-17 14:42:48,positive,0.4927,Other,0.0
"Unable to open the app, some error probably and this issue is repetitive",google_play,1,2026-02-23 14:42:42,negative,-0.5719,Bug,122.23
i find the app very good 👍,google_play,4,2026-02-22 14:42:41,positive,0.4927,Other,0.0
good,google_play,5,2026-02-21 14:42:33,positive,0.4404,Other,0.0
excellent,google_play,5,2026-02-20 14:42:31,positive,0.5719,Other,0.0
WhatsApp is amazing,google_play,5,2026-02-19 14:42:29,positive,0.5859,Other,0.0
it makes me busy even if I am bored,google_play,5,2026-02-18 14:42:07,negative,-0.2732,Other,2801.48
great service,google_play,3,2026-02-17 14:41:54,positive,0.6249,Other,0.0
perfect,google_play,5,2026-02-23 14:41:49,positive,0.5719,Other,0.0
ok,google_play,5,2026-02-22 14:41:43,positive,0.296,Other,0.0
it's cool and fast,google_play,5,2026-02-21 14:41:19,positive,0.3182,Performance,0.0
very good,google_play,5,2026-02-20 14:41:17,positive,0.4927,Other,0.0
❤️,google_play,5,2026-02-19 14:41:16,neutral,0.0,Other,0.0
good job,google_play,5,2026-02-18 14:41:13,positive,0.4404,Other,0.0
🥰😍,google_play,5,2026-02-17 14:41:09,neutral,0.0,Other,0.0
nice,google_play,5,2026-02-23 14:41:08,positive,0.4215,Other,0.0
👍,google_play,1,2026-02-22 14:40:55,neutral,0.0,Other,0.0
Excellent,google_play,5,2026-02-21 14:40:54,positive,0.5719,Other,0.0
good,google_play,5,2026-02-20 14:40:23,positive,0.4404,Other,0.0
fantastic 😍,google_play,5,2026-02-19 14:40:15,positive,0.5574,Other,0.0
I love WhatsApp,google_play,5,2026-02-18 14:40:12,positive,0.6369,Other,0.0
ഹാപ്പി,google_play,5,2026-02-17 14:40:09,neutral,0.0,Other,0.0
"খুবই ভালো, কিন্তু কোনো ডকুমেন্টস বেশিদিন থাকে না।",google_play,5,2026-02-23 14:40:08,neutral,0.0,Other,0.0
good,google_play,5,2026-02-22 14:40:03,positive,0.4404,Other,0.0
"WhatsApp saya mengalami bug, nama kontak yang sudah saya simpan ketika saya membuka grup, nama kontak itu mendadak hilang",google_play,2,2026-02-21 14:39:45,neutral,0.0,Bug,0.0
good,google_play,5,2026-02-20 14:39:41,positive,0.4404,Other,0.0
video weak and voice,google_play,5,2026-02-19 14:39:40,negative,-0.4404,Other,2813.36
status quality,google_play,1,2026-02-18 14:39:18,neutral,0.0,Other,0.0
awesome,google_play,2,2026-02-17 14:39:11,positive,0.6249,Other,0.0
whatsapp is the best,google_play,5,2026-02-23 14:39:09,positive,0.6369,Other,0.0
"every thing ok-ish but after the recent update , i can't use meta ai like i send one question and before it gives me the answer it exits and when i try to see the answer it will exit again and also i can't create my new avatar im stuck with the old one and also it sends random chats to me everytime i enter whatsapp and i have to delete it constantly😧😧😧😧",google_play,2,2026-02-22 14:39:02,negative,-0.1207,Other,2793.01
super ok nice,google_play,5,2026-02-21 14:38:52,positive,0.836,Other,0.0
very happy I'm,google_play,5,2026-02-20 14:38:33,positive,0.6115,Other,0.0
Unnecessary masege not give me,google_play,5,2026-02-19 14:38:29,neutral,0.0,Other,0.0
Great service,google_play,5,2026-02-18 14:38:24,positive,0.6249,Other,0.0
❤️❤️,google_play,5,2026-02-17 14:38:22,neutral,0.0,Other,0.0
good,google_play,5,2026-02-23 14:38:16,positive,0.4404,Other,0.0
nice,google_play,5,2026-02-22 14:38:13,positive,0.4215,Other,0.0
nice and easy to use,google_play,5,2026-02-21 14:37:57,positive,0.6908,Other,0.0
nice,google_play,5,2026-02-20 14:37:51,positive,0.4215,Other,0.0
